Resource_ID,Lesson_ID,Lesson_Name,Topic,Sub_Topic,Resource_Title,Resource_Type,Difficulty_Level,Estimated_Duration_Min,Week,LMS_URL,Knowledge_Graph_Tag,Prerequisite_Resource_IDs
R001,L0,General,Course Introduction,Course Overview,Software Engineering by Sommerville (Textbook),PDF,Foundational,120,W0,https://online.uom.lk/mod/resource/view.php?id=350428,"textbook,core_reference,software_engineering",
R002,L0,General,Course Introduction,Pre-reading,Pre-reading Material,PDF,Foundational,30,W1,https://online.uom.lk/mod/resource/view.php?id=342800,"pre_reading,introduction",
R003,L1,Software Engineering Methods,SE Overview,Definitions & Principles,Lesson 01 – Software Engineering Methods,PDF,Foundational,45,W1,https://online.uom.lk/mod/resource/view.php?id=342801,"se_methods,definitions,principles","R001,R002"
R004,L2,Software Development Models,SDLC Models,"Waterfall, Iterative, Spiral",Lesson 02 – Software Development Models,PDF,Beginner,45,W2,https://online.uom.lk/mod/resource/view.php?id=345474,"sdlc,waterfall,spiral,iterative",R003
R005,L2,Software Development Models,Version Control,Git Installation,How to Install Git?,URL/Video,Beginner,20,W2,https://online.uom.lk/mod/url/view.php?id=346074,"git,vcs,version_control",R004
R006,L2,Software Development Models,Version Control,VCS Lab Practice,Lab Session 01 – Version Control Systems (VCS),PDF,Beginner,60,W2,https://online.uom.lk/mod/resource/view.php?id=346072,"git,vcs,lab,practical",R005
R007,L2,Software Development Models,Version Control,VCS Lab Recording,Lab Session 1 Recording,Video,Beginner,60,W2,https://online.uom.lk/mod/url/view.php?id=349960,"git,vcs,lab,recording",R006
R008,L3,Agile & Scrum,Agile Methodology,Scrum Framework,Lesson 03 – Agile Scrum,PDF,Intermediate,45,W3,https://online.uom.lk/mod/resource/view.php?id=347831,"agile,scrum,sprints,backlog",R004
R009,L3,Agile & Scrum,Agile Methodology,Scrum Reference,Scrum Guides (Official),URL,Intermediate,30,W3,https://online.uom.lk/mod/url/view.php?id=347556,"agile,scrum,official_guide",R008
R010,L3,Agile & Scrum,Version Control,VCS Part 02 Lab,Lab Session 02 – VCS Part 02,PDF,Beginner,60,W3,https://online.uom.lk/mod/resource/view.php?id=347959,"git,vcs,branching,merging,lab",R006
R011,L3,Agile & Scrum,Version Control,VCS Lab 2 Recording,Lab Session 2 Recording,Video,Beginner,60,W3,https://online.uom.lk/mod/url/view.php?id=349961,"git,vcs,lab,recording",R010
R012,L4,Requirements Engineering,RE Concepts,Functional & Non-Functional Requirements,Lesson 04 – Requirements Engineering,PDF,Intermediate,45,W3,https://online.uom.lk/mod/resource/view.php?id=347768,"requirements,srs,use_case,functional",R003
R013,L4,Requirements Engineering,SRS Documentation,IEEE SRS Template,SRS Template – IEEE Standard,PDF,Intermediate,30,W3,https://online.uom.lk/mod/resource/view.php?id=347769,"srs,ieee,documentation,template",R012
R014,L4,Requirements Engineering,In-Class Activity,Group Activity 01,In Class Activity – Group 01,PDF,Intermediate,30,W3,https://online.uom.lk/mod/resource/view.php?id=347770,"requirements,activity,group_work",R012
R015,L4,Requirements Engineering,In-Class Activity,Group Activity 02,In Class Activity – Group 02,PDF,Intermediate,30,W3,https://online.uom.lk/mod/resource/view.php?id=348331,"requirements,activity,group_work",R012
R016,L5,UI/UX Design,Design Principles,UX Fundamentals,Introduction to UI/UX Design,PDF,Intermediate,45,W4,https://online.uom.lk/mod/resource/view.php?id=350426,"uiux,design,wireframes,prototyping",R012
R017,L5,UI/UX Design,Lab – Git,Git Lab Session 3,Lab Session 3 (Git),URL/Lab,Intermediate,60,W4,https://online.uom.lk/mod/url/view.php?id=351823,"git,vcs,lab",R010
R018,L2,Software Development Models,Process Modelling,DFD & Context Diagrams,Data Process Modeling,PDF,Intermediate,45,W5,https://online.uom.lk/mod/resource/view.php?id=369879,"dfd,process_model,data_flow",R004
R019,L2,Software Development Models,Process Modelling,Context Diagram,Context Diagram,PDF,Intermediate,20,W5,https://online.uom.lk/mod/resource/view.php?id=351197,"context_diagram,dfd",R018
R020,L2,Software Development Models,Build Tools,Maven Lab Session Notes,Maven Lab Session,PDF,Intermediate,45,W5,https://online.uom.lk/mod/resource/view.php?id=351396,"maven,build_tool,java,lab",R004
R021,L2,Software Development Models,Build Tools,Maven Lab Session Recording,Maven Lab Session (Recording),URL/Video,Intermediate,45,W5,https://online.uom.lk/mod/url/view.php?id=351818,"maven,build_tool,java,lab,recording",R020
R022,L6,Managing Software Projects,Cost Estimation,COCOMO & FPA,Software Cost Estimation,PDF,Advanced,45,W6,https://online.uom.lk/mod/resource/view.php?id=352718,"cost_estimation,cocomo,fpa",R004
R023,L6,Managing Software Projects,Decision Tables,Logic Modeling,Decision Tables,PDF,Intermediate,45,W6,https://online.uom.lk/mod/resource/view.php?id=352746,"decision_tables,logic,testing",R012
R024,L6,Managing Software Projects,Cost Estimation,Cost Estimation Activity,Activity – Cost Estimation,PDF,Intermediate,30,W6,https://online.uom.lk/mod/resource/view.php?id=352721,"cost_estimation,activity",R022
R025,L6,Managing Software Projects,Cost Estimation,FPA Lecture,Functional Point Analysis (PPT),PDF,Advanced,30,W6,https://online.uom.lk/mod/resource/view.php?id=353154,"fpa,function_points,cost_estimation",R022
R026,L6,Managing Software Projects,Cost Estimation,FPA Activity,Activity – Functional Point Analysis,PDF,Advanced,30,W6,https://online.uom.lk/mod/resource/view.php?id=353157,"fpa,activity,cost_estimation",R025
R027,L6,Managing Software Projects,Build Tools,Maven Lab 2,Maven Lab – 2,URL/Lab,Intermediate,45,W6,https://online.uom.lk/mod/url/view.php?id=354271,"maven,build_tool,lab",R020
R028,L7,Software Maintenance & Evolution,Maintenance Types,"Corrective, Adaptive, Perfective",Software Maintenance,PDF,Intermediate,45,W7,https://online.uom.lk/mod/resource/view.php?id=353761,"maintenance,evolution,legacy,refactoring",R004
R029,L7,Software Testing,Testing Fundamentals,"Unit, Integration, System Testing",Software Testing,PDF,Intermediate,45,W7,https://online.uom.lk/mod/resource/view.php?id=354073,"testing,unit_test,integration,system_test",R012
R030,L7,Software Testing,Testing Fundamentals,Testing Lecture Recording,Testing – Lecture Recording,Video,Intermediate,60,W7,https://online.uom.lk/mod/url/view.php?id=354273,"testing,recording",R029
R031,L8,Software Measurement,Metrics & Measurement,"GQM, Halstead, Cyclomatic",Software Measurement,PDF,Advanced,60,W8,https://online.uom.lk/mod/resource/view.php?id=353911,"measurement,metrics,gqm,cyclomatic_complexity",R029
R032,L6,Managing Software Projects,Project Management,"Planning, Risk, Scheduling",Managing Software Projects,PDF,Advanced,60,W8,https://online.uom.lk/mod/resource/view.php?id=369884,"project_management,risk,scheduling,gantt",R022
R033,L7,Software Testing,Testing Lab,Lab – Test Cases,Testing Lab Sheet,PDF,Intermediate,60,W9,https://online.uom.lk/mod/resource/view.php?id=358769,"testing,lab,test_case,junit",R029
R034,L7,Software Testing,Testing Lab,Sample Project,Sample Project for Testing,PDF,Intermediate,30,W9,https://online.uom.lk/mod/resource/view.php?id=358812,"testing,sample_project,lab",R033
R035,L7,Software Testing,Testing Lab,Testing Lecture & Lab Recording,Testing Lecture and Lab (Recording),Video,Intermediate,90,W9,https://online.uom.lk/mod/url/view.php?id=362804,"testing,lab,recording",R033
R036,L2,Software Development Models,DevOps,Introduction to Containers & Docker,Introduction to Containers,PDF,Advanced,45,W10,https://online.uom.lk/mod/resource/view.php?id=361685,"docker,containers,devops,deployment",R004
R037,L2,Software Development Models,DevOps,Testing Lab + Containers Recording,Testing Lab + Containers (Recording),Video,Advanced,90,W10,https://online.uom.lk/mod/url/view.php?id=362805,"docker,containers,testing,recording",R036
R038,L7,Software Testing,Automated Testing,Cypress Test Project,Cypress Testing Project,PDF,Advanced,60,W11,https://online.uom.lk/mod/resource/view.php?id=362995,"cypress,automation,e2e,testing",R033
R039,L7,Software Testing,Automated Testing,Cypress Lab Sheet,Cypress Testing Lab Sheet,PDF,Advanced,60,W11,https://online.uom.lk/mod/resource/view.php?id=362996,"cypress,automation,e2e,lab",R038
R040,L7,Software Testing,Automated Testing,Cypress Lecture Recording,Lecture Recording – Cypress,Video,Advanced,60,W11,https://online.uom.lk/mod/url/view.php?id=363212,"cypress,automation,recording",R038
R041,L2,Software Development Models,DevOps,CI/CD Pipeline,CI/CD Lecture and Lab,URL/Video,Advanced,60,W12,https://online.uom.lk/mod/url/view.php?id=366607,"cicd,pipeline,devops,automation",R036
