student_id,risk_level,title,category,priority,status,detail
ST1001,Low Risk,Complete the non-engaged lesson: General,Study planning,Medium,Pending,Lesson has no recorded engagement in the LMS activity log.
ST1001,Low Risk,Rebuild the assignment timeline with weekly milestones,Time management,Medium,Suggested,Last submission was 2 day(s) past the due date.
ST1001,Low Risk,Work through: Pre-reading Material,Learning resource,Medium,Recommended,PDF - 30 min - Foundational - General.
ST1001,Low Risk,Join the module discussion forum for peer support,Study planning,Low,Suggested,Almost no forum or chat interaction logged.
ST1001,Low Risk,Extend with advanced material to consolidate mastery,Learning resource,Low,Suggested,Low risk with strong ability - enrichment path unlocked.
ST1002,Medium Risk,Complete the non-engaged lesson: Software Testing,Study planning,High,Pending,Lesson has no recorded engagement in the LMS activity log.
ST1002,Medium Risk,Catch up on missed lectures using the recordings,Revision support,High,Pending,Attendance at 48% (29/30 sessions).
ST1002,Medium Risk,Work through: Software Testing,Learning resource,High,Recommended,PDF - 45 min - Intermediate - Software Testing.
ST1002,Medium Risk,Progress check-in with the module tutor,Academic support,Medium,Suggested,Medium risk band - confirm the recovery plan is on track.
ST1002,Medium Risk,Rebuild the assignment timeline with weekly milestones,Time management,Medium,Suggested,Last submission was 1 day(s) past the due date.
ST1003,High Risk,Schedule an academic support meeting this week,Academic support,Critical,Alert raised,Module 02 flags high risk (score 0.85) with performance at 43/100.
ST1003,High Risk,Complete the non-engaged lesson: Agile & Scrum,Study planning,High,Pending,Lesson has no recorded engagement in the LMS activity log. 2 lessons flagged in total.
ST1003,High Risk,Catch up on missed lectures using the recordings,Revision support,High,Pending,Attendance at 26% (6/25 sessions).
ST1003,High Risk,Run timed quiz practice on the weakest topic,Revision support,High,Pending,Quiz average of 53 sits below the cohort mid-point.
ST1003,High Risk,Work through: Lab Session 2 Recording,Learning resource,High,Recommended,Video - 60 min - Beginner - Agile & Scrum.
ST1004,Medium Risk,Catch up on missed lectures using the recordings,Revision support,High,Pending,Attendance at 40% (27/27 sessions).
ST1004,Medium Risk,Work through: Lab Session 3 (Git),Learning resource,High,Recommended,URL/Lab - 60 min - Intermediate - UI/UX Design.
ST1004,Medium Risk,Progress check-in with the module tutor,Academic support,Medium,Suggested,Medium risk band - confirm the recovery plan is on track.
ST1005,Medium Risk,Complete the non-engaged lesson: Agile & Scrum,Study planning,High,Pending,Lesson has no recorded engagement in the LMS activity log. 2 lessons flagged in total.
ST1005,Medium Risk,Catch up on missed lectures using the recordings,Revision support,High,Pending,Attendance at 32% (10/27 sessions).
ST1005,Medium Risk,Work through: Lab Session 02 - VCS Part 02,Learning resource,High,Recommended,PDF - 60 min - Beginner - Agile & Scrum.
ST1005,Medium Risk,Progress check-in with the module tutor,Academic support,Medium,Suggested,Medium risk band - confirm the recovery plan is on track.
ST1005,Medium Risk,Rebuild the assignment timeline with weekly milestones,Time management,Medium,Suggested,Last submission was 1 day(s) past the due date.
ST1006,Low Risk,Complete the non-engaged lesson: Requirements Engineering,Study planning,Medium,Pending,Lesson has no recorded engagement in the LMS activity log. 2 lessons flagged in total.
ST1006,Low Risk,Rebuild the assignment timeline with weekly milestones,Time management,Medium,Suggested,Last submission was 1 day(s) past the due date.
ST1006,Low Risk,Work through: Lesson 04 - Requirements Engineering,Learning resource,Medium,Recommended,PDF - 45 min - Intermediate - Requirements Engineering.
ST1006,Low Risk,Join the module discussion forum for peer support,Study planning,Low,Suggested,Almost no forum or chat interaction logged.
ST1006,Low Risk,Extend with advanced material to consolidate mastery,Learning resource,Low,Suggested,Low risk with strong ability - enrichment path unlocked.
ST1007,High Risk,Schedule an academic support meeting this week,Academic support,Critical,Alert raised,Module 02 flags high risk (score 0.85) with performance at 35/100.
ST1007,High Risk,Catch up on missed lectures using the recordings,Revision support,High,Pending,Attendance at 46% (18/27 sessions).
ST1007,High Risk,Run timed quiz practice on the weakest topic,Revision support,High,Pending,Quiz average of 26 sits below the cohort mid-point.
ST1007,High Risk,Work through: Lab Session 1 Recording,Learning resource,High,Recommended,Video - 60 min - Beginner - Software Development Models.
ST1007,High Risk,Rebuild the assignment timeline with weekly milestones,Time management,Medium,Suggested,Last submission was 2 day(s) past the due date.
ST1008,High Risk,Schedule an academic support meeting this week,Academic support,Critical,Alert raised,Module 02 flags high risk (score 0.85) with performance at 23/100.
ST1008,High Risk,Complete the non-engaged lesson: Software Engineering Methods,Study planning,High,Pending,Lesson has no recorded engagement in the LMS activity log.
